EventName	LSTofGrennwichTaskStart	TaskStartTime	TaskEndTime	EventStartTime	EventEndTime	TargetStartPosX	TargetStartPosY	TargetStartPosZ	TargetEndPosX	TargetEndPosY	TargetEndPosZ	SystemPosEventStartX	SystemPosEventStartY	SystemPosEventStartZ	SystemPosEventEndX	SystemPosEventEndY	SystemPosEventEndZ	SystemPosTaskStartX	SystemPosTaskStartY	SystemPosTaskStartZ	SystemPosTaskEndX	SystemPosTaskEndY	SystemPosTaskEndZ	PowerDODEventStart	PowerDODEventEnd	SSDRbitsES	SSDRbitsEE	
t64	134.4760648987	2454680.0111111109	2454680.0111689814	2454680.0110532409	2454680.0111689814	-5316.5574779169	-3034.3717074328	1790.9317451834	-5315.4507721519	-3036.3099584352	1790.9317451834	2987.7763593156	5584.8531454577	2032.7299207369	2920.6931015346	5620.6140004253	2045.7458690510	2954.2347576777	5602.7335584136	2039.2378896062	2920.6931287872	5620.6139858974	2045.7458637633	0.0575000313	0.0581000316	0.0000925967	0.0000925967	
t64	134.5178457545	2454680.0112268520	2454680.0112847220	2454680.0111689814	2454680.0112847225	-5314.3433597611	-3038.2478057964	1790.9317451834	-5313.2352498111	-3040.1852336706	1790.9317451834	2920.6931015346	5620.6140004253	2045.7458690510	2853.6098437537	5656.3748553928	2058.7618173652	2887.1514998967	5638.4944133812	2052.2538379204	2853.6098710063	5656.3748408649	2058.7618120775	0.0581000316	0.0587000319	0.0000935514	0.0000935514	
t64	134.5596264422	2454680.0113425925	2454680.0114004631	2454680.0112847225	2454680.0114004631	-5312.1264246160	-3042.1222729798	1790.9317451834	-5311.0168932371	-3044.0589078751	1790.9317451834	2853.6098437537	5656.3748553928	2058.7618173652	2786.5265859728	5692.1357103603	2071.7777656794	2820.0682421158	5674.2552683487	2065.2697862346	2786.5266132253	5692.1356958324	2071.7777603917	0.0587000319	0.0593000323	0.0000945060	0.0000945060	
t64	134.6014071299	2454680.0114583331	2454680.0115162036	2454680.0114004631	2454680.0115162036	-5309.9066647582	-3045.9951225206	1790.9317451834	-5308.7957214598	-3047.9309478191	1790.9317451834	2786.5265859728	5692.1357103603	2071.7777656794	2719.4433281918	5727.8965653278	2084.7937139936	2752.9849843349	5710.0161233162	2078.2857345488	2719.4433554444	5727.8965508000	2084.7937087059	0.0593000323	0.0599000326	0.0000954606	0.0000954606	
t64	134.6431879856	2454680.0115740742	2454680.0116319442	2454680.0115162036	2454680.0116319447	-5307.6840724202	-3049.8663679315	1790.9317451834	-5306.5717267409	-3051.8013670319	1790.9317451834	2719.4433281918	5727.8965653278	2084.7937139936	2648.9224170449	5756.4021538562	2095.1689487940	2685.5406307995	5745.0148752938	2091.0242987474	2648.9224467972	5756.4021446040	2095.1689454265	0.0599000326	0.0605000329	0.0000964152	0.0000964152	
t24	134.6849686733	2454680.0116898147	2454680.0117476853	2454680.0116319447	2454680.0117476853	2515.3185854933	5549.9525125983	1884.6302322059	2513.2948682054	5550.8692458098	1884.6302322059	2648.9224170449	5756.4021538562	2095.1689487940	2575.6860490404	5779.1766924767	2103.4582421521	2612.3042627949	5767.7894139143	2099.3135921055	2575.6860787927	5779.1766832245	2103.4582387846	0.0605000329	0.0611000332	0.0000973698	0.0000973698	
t23	134.7267495291	2454680.0118055558	2454680.0118634258	2454680.0117476853	2454680.0118634258	2508.4171028626	5535.7542494004	1934.9160496209	2506.3985790596	5536.6684598752	1934.9160496209	2575.6860490404	5779.1766924767	2103.4582421521	2502.4496810359	5801.9512310972	2111.7475355103	2539.0678947904	5790.5639525348	2107.6028854637	2502.4497107882	5801.9512218450	2111.7475321428	0.0611000332	0.0617000336	0.0000983244	0.0000983244	
t65	134.7685302168	2454680.0119212964	2454680.0119791669	2454680.0118634258	2454680.0119791669	-4962.3555841017	-3693.4187762336	1553.8070636564	-4961.0086088764	-3695.2278390317	1553.8070636564	2502.4496810359	5801.9512310972	2111.7475355103	2429.2133130313	5824.7257697177	2120.0368288684	2465.8315267859	5813.3384911553	2115.8921788218	2429.2133427836	5824.7257604655	2120.0368255009	0.0617000336	0.0623000339	0.0000992790	0.0000992790	
t26	134.8103109045	2454680.0120370369	2454680.0120949075	2454680.0119791669	2454680.0120949075	2382.5191639296	5569.0193542081	1997.5628792938	2380.4885035698	5569.8876665879	1997.5628792938	2429.2133130313	5824.7257697177	2120.0368288684	2355.9769450268	5847.5003083382	2128.3261222266	2392.5951587814	5836.1130297758	2124.1814721800	2355.9769747791	5847.5002990860	2128.3261188591	0.0623000339	0.0629000342	0.0001002336	0.0001002336	
t65	134.8520917603	2454680.0121527780	2454680.0122106480	2454680.0120949075	2454680.0122106480	-4956.9637377325	-3700.6520645024	1553.8070636564	-4955.6141364223	-3702.4591463772	1553.8070636564	2355.9769450268	5847.5003083382	2128.3261222266	2282.7405770223	5870.2748469587	2136.6154155847	2319.3587907768	5858.8875683963	2132.4707655381	2282.7406067746	5870.2748377065	2136.6154122172	0.0629000342	0.0635000345	0.0001011882	0.0001011882	
